Column 1	Column 3
Ricky       	60.396 
Lauren      	60.466 
Geraldine   	60.537 
Troy        	60.606 
Stacy       	60.675 
Randall     	60.744 
Cathy       	60.813 
Joann       	60.881 
Sally       	60.948 
Lorraine    	61.016 
Barry       	61.083 
Alexander   	61.150 
Regina      	61.216 
Jackie      	61.283 
Erica       	61.348 
Beatrice    	61.413 
Dolores     	61.477 
Bernice     	61.541 
Mario       	61.605 
Bernard     	61.668 
Audrey      	61.732 
Yvonne      	61.795 
Francisco   	61.858 
Micheal     	61.920 
Leroy       	61.983 
June        	62.045 
Annette     	62.108 
Samantha    	62.170 
Marcus      	62.232 
Theodore    	62.293 
Oscar       	62.355 
Clifford    	62.416 
Miguel      	62.477 
Jay         	62.538 
Renee       	62.598 
Ana         	62.658 
Vivian      	62.717 
Jim         	62.776 
Ida         	62.835 
Tom         	62.893 
Ronnie      	62.952 
Roberta     	63.010 
Holly       	63.069 
Brittany    	63.127 
Angel       	63.186 
Alex        	63.244 
Melanie     	63.302 
Jon         	63.360 
Yolanda     	63.418 
Tommy       	63.475 
Loretta     	63.533 
Jeanette    	63.590 
Calvin      	63.648 
Laurie      	63.705 
Leon        	63.761 
Katie       	63.818 
Stacey      	63.874 
Lloyd       	63.930 
Derek       	63.986 
Bill        	64.042 
Vanessa     	64.097 
Sue         	64.153 
Kristen     	64.208 
Alma        	64.263 
Warren      	64.319 
Elsie       	64.374 
Beth        	64.429 
Vicki       	64.483 
Jeanne      	64.538 
Jerome      	64.592 
Darrell     	64.646 
Tara        	64.699 
Rosemary    	64.753 
Leo         	64.806 
Floyd       	64.860 
Dean        	64.913 
Carla       	64.967 
Wesley      	65.019 
Terri       	65.072 
Eileen      	65.124 
Courtney    	65.177 
Alvin       	65.229 
Tim         	65.281 
Jorge       	65.333 
Greg        	65.385 
Gordon      	65.437 
Pedro       	65.489 
Lucy        	65.540 
Gertrude    	65.592 
Dustin      	65.643 
Derrick     	65.695 
Corey       	65.746 
Tonya       	65.797 
Dan         	65.848 
Ella        	65.899 
Lewis       	65.949 
Zachary     	65.998 
Wilma       	66.048 
Maurice     	66.097 
Kristin     	66.147 
Gina        	66.196 
Vernon      	66.245 
Vera        	66.294 
Roberto     	66.343 
Natalie     	66.392 
Clyde       	66.441 
Agnes       	66.490 
Herman      	66.539 
Charlene    	66.587 
Charlie     	66.635 
Bessie      	66.683 
Shane       	66.731 
Delores     	66.778 
Sam         	66.825 
Pearl       	66.872 
Melinda     	66.919 
Hector      	66.966 
Glen        	67.013 
Arlene      	67.060 
Ricardo     	67.107 
Tamara      	67.153 
Maureen     	67.199 
Lester      	67.245 
Gene        	67.291 
Colleen     	67.337 
Allison     	67.383 
Tyler       	67.428 
Rick        	67.474 
Joy         	67.519 
Johnnie     	67.565 
Georgia     	67.610 
Constance   	67.656 
Ramon       	67.701 
Marcia      	67.746 
Lillie      	67.791 
Claudia     	67.836 
Brent       	67.881 
Tanya       	67.925 
Nellie      	67.970 
Minnie      	68.014 
Gilbert     	68.059 
Marlene     	68.103 
Heidi       	68.147 
Glenda      	68.191 
Marc        	68.234 
Viola       	68.277 
Marian      	68.320 
Lydia       	68.363 
Billie      	68.406 
Stella      	68.449 
Guadalupe   	68.491 
Caroline    	68.534 
Reginald    	68.576 
Dora        	68.618 
Jo          	68.659 
Cecil       	68.701 
Casey       	68.742 
Brett       	68.784 
Vickie      	68.825 
Ruben       	68.866 
Jaime       	68.907 
Rafael      	68.947 
Nathaniel   	68.988 
Mattie      	69.028 
Milton      	69.068 
Edgar       	69.108 
Raul        	69.148 
Maxine      	69.187 
Irma        	69.227 
Myrtle      	69.266 
Marsha      	69.305 
Mabel       	69.344 
Chester     	69.383 
Ben         	69.422 
Andre       	69.461 
Adrian      	69.500 
Lena        	69.538 
Franklin    	69.577 
Duane       	69.615 
Christy     	69.654 
Tracey      	69.692 
Patsy       	69.730 
Gabriel     	69.768 
Deanna      	69.806 
Jimmie      	69.843 
Hilda       	69.881 
Elmer       	69.918 
Christian   	69.956 
Bobbie      	69.993 
Gwendolyn   	70.030 
Nora        	70.067 
Mitchell    	70.103 
Jennie      	70.140 
Brad        	70.176 
Ron         	70.212 
Roland      	70.248 
Nina        	70.284 
Margie      	70.320 
Leah        	70.356 
Harvey      	70.392 
Cory        	70.428 
Cassandra   	70.464 
Arnold      	70.500 
Priscilla   	70.536 
Penny       	70.571 
Naomi       	70.607 
Kay         	70.642 
Karl        	70.678 
Jared       	70.713 
Carole      	70.749 
Olga        	70.784 
Jan         	70.819 
Brandy      	70.854 
Lonnie      	70.888 
Leona       	70.923 
Dianne      	70.957 
Claude      	70.992 
Sonia       	71.026 
Jordan      	71.060 
Jenny       	71.094 
Felicia     	71.128 
Erik        	71.162 
Lindsey     	71.195 
Kerry       	71.229 
Darryl      	71.262 
Velma       	71.295 
Neil        	71.328 
Miriam      	71.361 
Becky       	71.394 
Violet      	71.427 
Kristina    	71.459 
Javier      	71.492 
Fernando    	71.524 
Cody        	71.557 
Clinton     	71.589 
Tyrone      	71.621 
Toni        	71.653 
Ted         	71.685 
Rene        	71.717 
Mathew      	71.749 
Lindsay     	71.781 
Julio       	71.813 
Darren      	71.845 
Misty       	71.877 
Mae         	71.908 
Lance       	71.940 
Sherri      	71.971 
Shelly      	72.002 
Sandy       	72.033 
Ramona      	72.064 
Pat         	72.095 
Kurt        	72.126 
Jody        	72.157 
Daisy       	72.188 
Nelson      	72.218 
Katrina     	72.249 
Erika       	72.279 
Claire      	72.310 
Allan       	72.340 
Hugh        	72.370 
Guy         	72.400 
Clayton     	72.430 
Sheryl      	72.460 
Max         	72.489 
Margarita   	72.519 
Geneva      	72.548 
Dwayne      	72.578 
Belinda     	72.607 
Felix       	72.636 
Faye        	72.665 
Dwight      	72.694 
Cora        	72.723 
Armando     	72.752 
Sabrina     	72.781 
Natasha     	72.809 
Isabel      	72.838 
Everett     	72.866 
Ada         	72.895 
Wallace     	72.923 
Sidney      	72.951 
Marguerite  	72.979 
Ian         	73.007 
Hattie      	73.035 
Harriet     	73.063 
Rosie       	73.090 
Molly       	73.118 
Kristi      	73.145 
Ken         	73.173 
Joanna      	73.200 
Iris        	73.228 
Cecilia     	73.255 
Brandi      	73.283 
Bob         	73.310 
Blanche     	73.338 
Julian      	73.365 
Eunice      	73.392 
Angie       	73.419 
Alfredo     	73.446 
Lynda       	73.472 
Ivan        	73.499 
Inez        	73.525 
Freddie     	73.552 
Dave        	73.578 
Alberto     	73.605 
Madeline    	73.631 
Daryl       	73.657 
Byron       	73.683 
